Validation check,Status,Observed,Expected,Interpretation
source_hash::phase2b_event_prevalence,PASS,a6309d097a1c2460cb55308f0e1c0a3740a108fb92dd65ddc044e0f73bdb259b,a6309d097a1c2460cb55308f0e1c0a3740a108fb92dd65ddc044e0f73bdb259b,Observed SHA-256 matched the frozen manifest.
source_hash::phase2c_metric_comparison,PASS,5e9ec8650b450c35ee9e52abc6e35247557191f056c5388fc95e1eeb81f4cae7,5e9ec8650b450c35ee9e52abc6e35247557191f056c5388fc95e1eeb81f4cae7,Observed SHA-256 matched the frozen manifest.
source_hash::phase2d_target_ap,PASS,6668e0fb2019d2df8195bfaf23352cf751a566c20713a6180484e2d99cc4d9d1,6668e0fb2019d2df8195bfaf23352cf751a566c20713a6180484e2d99cc4d9d1,Observed SHA-256 matched the frozen manifest.
source_hash::phase3_independent_null,PASS,dd397c4f6d934aaa34580fe60ebcb574918ae6b60a53a224ad5766973146e021,dd397c4f6d934aaa34580fe60ebcb574918ae6b60a53a224ad5766973146e021,Observed SHA-256 matched the frozen manifest.
source_hash::phase3b_extended_single,PASS,437d05de7e3f9b72c65d7d16501accc1d7040be767c93c56b58b3775630fe88c,437d05de7e3f9b72c65d7d16501accc1d7040be767c93c56b58b3775630fe88c,Observed SHA-256 matched the frozen manifest.
source_hash::phase3b_extended_xor,PASS,b8cea096c821b2341d15bb35456c42f5191e23c106307dba982d8f30d3c06556,b8cea096c821b2341d15bb35456c42f5191e23c106307dba982d8f30d3c06556,Observed SHA-256 matched the frozen manifest.
source_hash::phase3b_heterogeneous_single,PASS,8598faa2f49eecbc7c1d9358b4214e688f7fab66c354424d50da50a2ab4d94b6,8598faa2f49eecbc7c1d9358b4214e688f7fab66c354424d50da50a2ab4d94b6,Observed SHA-256 matched the frozen manifest.
source_hash::phase3b_heterogeneous_xor,PASS,cdd0f1fe446119e44dddf3e2685e67449d66e592c936a4faf353706d753cd282,cdd0f1fe446119e44dddf3e2685e67449d66e592c936a4faf353706d753cd282,Observed SHA-256 matched the frozen manifest.
source_hash::phase3b_similar_linear_single,PASS,9a8be9fbd87fa90775dc1a452159dd0c2f7920494aeac9fb3c5f2f46886429a9,9a8be9fbd87fa90775dc1a452159dd0c2f7920494aeac9fb3c5f2f46886429a9,Observed SHA-256 matched the frozen manifest.
source_hash::phase3b_similar_linear_xor,PASS,974f18c48ab9caf7104e038fb31675060508de6b2206fef537300019c6f8368b,974f18c48ab9caf7104e038fb31675060508de6b2206fef537300019c6f8368b,Observed SHA-256 matched the frozen manifest.
source_hash::support2_phase4b_frozen,PASS,18d054a5a6c7165cce780c9bd4785fee24850d00b7eeee2cc3a3d97a6c3de541,18d054a5a6c7165cce780c9bd4785fee24850d00b7eeee2cc3a3d97a6c3de541,Observed SHA-256 matched the frozen manifest.
source_hash::support2_phase4c_full,PASS,20e8b06252ef36dd61d27b1ca00ebeccb882843f1a3fb300ed014e602bb68bf8,20e8b06252ef36dd61d27b1ca00ebeccb882843f1a3fb300ed014e602bb68bf8,Observed SHA-256 matched the frozen manifest.
source_hash::support2_phase4d,PASS,a5b970fa2382694cfc068bb7e92489ad0e6f3f0c9bf59d3f1c67bbcfd1ca8c2c,a5b970fa2382694cfc068bb7e92489ad0e6f3f0c9bf59d3f1c67bbcfd1ca8c2c,Observed SHA-256 matched the frozen manifest.
phase3_empirical_methods,PASS,"['bonferroni_empirical', 'naive_empirical', 'pipeline_empirical']","['bonferroni_empirical', 'naive_empirical', 'pipeline_empirical']",Primary inference methods.
phase3_pipeline_mean_type1,PASS,0.04847222222222222,approximately 0.05,Average across frozen Phase 3 null conditions.
phase3_k1_method_equivalence,PASS,0.0,0.0,"With one candidate, naive, Bonferroni, and pipeline inference should coincide."
support2_winner_agreement,PASS,['random_forest'],['random_forest'],All three metric-specific winners should agree.
support2_selection_test_descriptive_rows,PASS,3,3,Three metric-specific descriptive selection-to-test differences were generated; no inferential CI claim was made.
support2_phase4c_reproduction,PASS,True,True,Phase 4C results reproduced before the test set was opened.
support2_restricted_sensitivity_rows,PASS,3,3,Three metric-specific restricted-permutation summaries were generated.
